Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,j_start,Mi_FB,MiSn_FB,MiSn_T
171,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
172,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
173,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
174,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
175,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
176,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
177,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
178,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
179,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
180,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
181,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
182,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
183,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
184,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
185,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
186,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
187,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
188,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
189,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
190,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
191,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
192,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
193,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
194,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
195,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
196,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
197,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
198,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
199,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
200,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
201,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
202,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
203,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
204,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
205,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
206,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
207,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
208,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
209,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
210,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
211,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
212,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
213,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
214,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
215,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
216,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
217,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
218,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
219,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
220,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
221,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
222,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
223,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
224,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
225,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
226,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
227,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
228,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
229,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
230,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
231,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
232,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
233,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
234,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
235,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
236,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
237,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
238,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
239,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
240,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
241,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
242,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
243,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
244,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
245,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
246,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
247,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
248,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
249,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
250,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
251,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
252,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
253,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
254,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
255,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
256,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
257,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
258,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
259,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
260,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
261,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
262,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
263,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
264,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
265,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
266,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
267,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
268,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
269,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
270,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
271,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
272,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
273,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
274,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
275,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
276,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
277,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
278,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
279,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
280,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
281,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
282,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
283,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
284,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
285,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
286,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
287,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
288,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
289,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
290,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
291,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
292,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
293,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
294,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
295,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
296,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
297,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
298,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
299,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
300,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
301,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
302,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
303,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
304,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
305,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
306,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
307,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
308,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
309,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
310,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
311,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
312,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
313,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
314,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
315,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
316,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
317,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
318,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
319,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
320,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
321,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
322,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
323,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
324,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
325,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
326,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
327,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
328,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
