Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,Mi_FB,MiSn_FB,MiSn_T
240,540,27,0.0,540,27,0.0,0.0,0.0,0.0
241,540,27,0.0,540,27,0.0,0.0,0.0,0.0
242,540,27,0.0,540,27,0.0,0.0,0.0,0.0
243,540,27,0.0,540,27,0.0,0.0,0.0,0.0
244,540,27,0.0,540,27,0.0,0.0,0.0,0.0
245,540,27,0.0,540,27,0.0,0.0,0.0,0.0
246,540,27,0.0,540,27,0.0,0.0,0.0,0.0
247,540,27,0.0,540,27,0.0,0.0,0.0,0.0
248,540,27,0.0,540,27,0.0,0.0,0.0,0.0
249,540,27,0.0,540,27,0.0,0.0,0.0,0.0
250,540,27,0.0,540,27,0.0,0.0,0.0,0.0
251,540,27,0.0,540,27,0.0,0.0,0.0,0.0
252,540,27,0.0,540,27,0.0,0.0,0.0,0.0
253,540,27,0.0,540,27,0.0,0.0,0.0,0.0
254,540,27,0.0,540,27,0.0,0.0,0.0,0.0
255,540,27,0.0,540,27,0.0,0.0,0.0,0.0
256,540,27,0.0,540,27,0.0,0.0,0.0,0.0
257,540,27,0.0,540,27,0.0,0.0,0.0,0.0
258,540,27,0.0,540,27,0.0,0.0,0.0,0.0
259,540,27,0.0,540,27,0.0,0.0,0.0,0.0
260,540,27,0.0,540,27,0.0,0.0,0.0,0.0
261,540,27,0.0,540,27,0.0,0.0,0.0,0.0
262,540,27,0.0,540,27,0.0,0.0,0.0,0.0
263,540,27,0.0,540,27,0.0,0.0,0.0,0.0
264,540,27,0.0,540,27,0.0,0.0,0.0,0.0
265,540,27,0.0,540,27,0.0,0.0,0.0,0.0
266,540,27,0.0,540,27,0.0,0.0,0.0,0.0
267,540,27,0.0,540,27,0.0,0.0,0.0,0.0
268,540,27,0.0,540,27,0.0,0.0,0.0,0.0
269,540,27,0.0,540,27,0.0,0.0,0.0,0.0
270,540,27,0.0,540,27,0.0,0.0,0.0,0.0
271,540,27,0.0,540,27,0.0,0.0,0.0,0.0
272,540,27,0.0,540,27,0.0,0.0,0.0,0.0
273,540,27,0.0,540,27,0.0,0.0,0.0,0.0
274,540,27,0.0,540,27,0.0,0.0,0.0,0.0
275,540,27,0.0,540,27,0.0,0.0,0.0,0.0
276,540,27,0.0,540,27,0.0,0.0,0.0,0.0
277,540,27,0.0,540,27,0.0,0.0,0.0,0.0
278,540,27,0.0,540,27,0.0,0.0,0.0,0.0
279,540,27,0.0,540,27,0.0,0.0,0.0,0.0
280,540,27,0.0,540,27,0.0,0.0,0.0,0.0
281,540,27,0.0,540,27,0.0,0.0,0.0,0.0
282,540,27,0.0,540,27,0.0,0.0,0.0,0.0
283,540,27,0.0,540,27,0.0,0.0,0.0,0.0
284,540,27,0.0,540,27,0.0,0.0,0.0,0.0
285,540,27,0.0,540,27,0.0,0.0,0.0,0.0
286,540,27,0.0,540,27,0.0,0.0,0.0,0.0
287,540,27,0.0,540,27,0.0,0.0,0.0,0.0
288,540,27,0.0,540,27,0.0,0.0,0.0,0.0
289,540,27,0.0,540,27,0.0,0.0,0.0,0.0
290,540,27,0.0,540,27,0.0,0.0,0.0,0.0
291,540,27,0.0,540,27,0.0,0.0,0.0,0.0
292,540,27,0.0,540,27,0.0,0.0,0.0,0.0
293,540,27,0.0,540,27,0.0,0.0,0.0,0.0
294,540,27,0.0,540,27,0.0,0.0,0.0,0.0
295,540,27,0.0,540,27,0.0,0.0,0.0,0.0
296,540,27,0.0,540,27,0.0,0.0,0.0,0.0
297,540,27,0.0,540,27,0.0,0.0,0.0,0.0
298,540,27,0.0,540,27,0.0,0.0,0.0,0.0
299,540,27,0.0,540,27,0.0,0.0,0.0,0.0
300,540,27,0.0,540,27,0.0,0.0,0.0,0.0
301,540,27,0.0,540,27,0.0,0.0,0.0,0.0
302,540,27,0.0,540,27,0.0,0.0,0.0,0.0
303,540,27,0.0,540,27,0.0,0.0,0.0,0.0
304,540,27,0.0,540,27,0.0,0.0,0.0,0.0
305,540,27,0.0,540,27,0.0,0.0,0.0,0.0
306,540,27,0.0,540,27,0.0,0.0,0.0,0.0
307,540,27,0.0,540,27,0.0,0.0,0.0,0.0
308,540,27,0.0,540,27,0.0,0.0,0.0,0.0
309,540,27,0.0,540,27,0.0,0.0,0.0,0.0
310,540,27,0.0,540,27,0.0,0.0,0.0,0.0
311,540,27,0.0,540,27,0.0,0.0,0.0,0.0
312,540,27,0.0,540,27,0.0,0.0,0.0,0.0
313,540,27,0.0,540,27,0.0,0.0,0.0,0.0
314,540,27,0.0,540,27,0.0,0.0,0.0,0.0
315,540,27,0.0,540,27,0.0,0.0,0.0,0.0
316,540,27,0.0,540,27,0.0,0.0,0.0,0.0
317,540,27,0.0,540,27,0.0,0.0,0.0,0.0
318,540,27,0.0,540,27,0.0,0.0,0.0,0.0
319,540,27,0.0,540,27,0.0,0.0,0.0,0.0
320,540,27,0.0,540,27,0.0,0.0,0.0,0.0
321,540,27,0.0,540,27,0.0,0.0,0.0,0.0
322,540,27,0.0,540,27,0.0,0.0,0.0,0.0
323,540,27,0.0,540,27,0.0,0.0,0.0,0.0
324,540,27,0.0,540,27,0.0,0.0,0.0,0.0
325,540,27,0.0,540,27,0.0,0.0,0.0,0.0
326,540,27,0.0,540,27,0.0,0.0,0.0,0.0
327,540,27,0.0,540,27,0.0,0.0,0.0,0.0
328,540,27,0.0,540,27,0.0,0.0,0.0,0.0
329,540,27,0.0,540,27,0.0,0.0,0.0,0.0
330,540,27,0.0,540,27,0.0,0.0,0.0,0.0
331,540,27,0.0,540,27,0.0,0.0,0.0,0.0
332,540,27,0.0,540,27,0.0,0.0,0.0,0.0
333,540,27,0.0,540,27,0.0,0.0,0.0,0.0
334,540,27,0.0,540,27,0.0,0.0,0.0,0.0
335,540,27,0.0,540,27,0.0,0.0,0.0,0.0
336,540,27,0.0,540,27,0.0,0.0,0.0,0.0
337,540,27,0.0,540,27,0.0,0.0,0.0,0.0
338,540,27,0.0,540,27,0.0,0.0,0.0,0.0
339,540,27,0.0,540,27,0.0,0.0,0.0,0.0
340,540,27,0.0,540,27,0.0,0.0,0.0,0.0
341,540,27,0.0,540,27,0.0,0.0,0.0,0.0
342,540,27,0.0,540,27,0.0,0.0,0.0,0.0
343,540,27,0.0,540,27,0.0,0.0,0.0,0.0
344,540,27,0.0,540,27,0.0,0.0,0.0,0.0
345,540,27,0.0,540,27,0.0,0.0,0.0,0.0
346,540,27,0.0,540,27,0.0,0.0,0.0,0.0
347,540,27,0.0,540,27,0.0,0.0,0.0,0.0
348,540,27,0.0,540,27,0.0,0.0,0.0,0.0
349,540,27,0.0,540,27,0.0,0.0,0.0,0.0
350,540,27,0.0,540,27,0.0,0.0,0.0,0.0
351,540,27,0.0,540,27,0.0,0.0,0.0,0.0
352,540,27,0.0,540,27,0.0,0.0,0.0,0.0
353,540,27,0.0,540,27,0.0,0.0,0.0,0.0
354,540,27,0.0,540,27,0.0,0.0,0.0,0.0
355,540,27,0.0,540,27,0.0,0.0,0.0,0.0
356,540,27,0.0,540,27,0.0,0.0,0.0,0.0
357,540,27,0.0,540,27,0.0,0.0,0.0,0.0
358,540,27,0.0,540,27,0.0,0.0,0.0,0.0
359,540,27,0.0,540,27,0.0,0.0,0.0,0.0
360,540,27,0.0,540,27,0.0,0.0,0.0,0.0
361,540,27,0.0,540,27,0.0,0.0,0.0,0.0
362,540,27,0.0,540,27,0.0,0.0,0.0,0.0
363,540,27,0.0,540,27,0.0,0.0,0.0,0.0
364,540,27,0.0,540,27,0.0,0.0,0.0,0.0
365,540,27,0.0,540,27,0.0,0.0,0.0,0.0
366,540,27,0.0,540,27,0.0,0.0,0.0,0.0
367,540,27,0.0,540,27,0.0,0.0,0.0,0.0
368,540,27,0.0,540,27,0.0,0.0,0.0,0.0
369,540,27,0.0,540,27,0.0,0.0,0.0,0.0
370,540,27,0.0,540,27,0.0,0.0,0.0,0.0
371,540,27,0.0,540,27,0.0,0.0,0.0,0.0
372,540,27,0.0,540,27,0.0,0.0,0.0,0.0
373,540,27,0.0,540,27,0.0,0.0,0.0,0.0
374,540,27,0.0,540,27,0.0,0.0,0.0,0.0
375,540,27,0.0,540,27,0.0,0.0,0.0,0.0
376,540,27,0.0,540,27,0.0,0.0,0.0,0.0
377,540,27,0.0,540,27,0.0,0.0,0.0,0.0
378,540,27,0.0,540,27,0.0,0.0,0.0,0.0
379,540,27,0.0,540,27,0.0,0.0,0.0,0.0
380,540,27,0.0,540,27,0.0,0.0,0.0,0.0
381,540,27,0.0,540,27,0.0,0.0,0.0,0.0
382,540,27,0.0,540,27,0.0,0.0,0.0,0.0
383,540,27,0.0,540,27,0.0,0.0,0.0,0.0
384,540,27,0.0,540,27,0.0,0.0,0.0,0.0
385,540,27,0.0,540,27,0.0,0.0,0.0,0.0
386,540,27,0.0,540,27,0.0,0.0,0.0,0.0
387,540,27,0.0,540,27,0.0,0.0,0.0,0.0
388,540,27,0.0,540,27,0.0,0.0,0.0,0.0
389,540,27,0.0,540,27,0.0,0.0,0.0,0.0
390,540,27,0.0,540,27,0.0,0.0,0.0,0.0
391,540,27,0.0,540,27,0.0,0.0,0.0,0.0
392,540,27,0.0,540,27,0.0,0.0,0.0,0.0
393,540,27,0.0,540,27,0.0,0.0,0.0,0.0
394,540,27,0.0,540,27,0.0,0.0,0.0,0.0
395,540,27,0.0,540,27,0.0,0.0,0.0,0.0
396,540,27,0.0,540,27,0.0,0.0,0.0,0.0
397,540,27,0.0,540,27,0.0,0.0,0.0,0.0
398,540,27,0.0,540,27,0.0,0.0,0.0,0.0
399,540,27,0.0,540,27,0.0,0.0,0.0,0.0
400,540,27,0.0,540,27,0.0,0.0,0.0,0.0
401,540,27,0.0,540,27,0.0,0.0,0.0,0.0
402,540,27,0.0,540,27,0.0,0.0,0.0,0.0
403,540,27,0.0,540,27,0.0,0.0,0.0,0.0
404,540,27,0.0,540,27,0.0,0.0,0.0,0.0
405,540,27,0.0,540,27,0.0,0.0,0.0,0.0
406,540,27,0.0,540,27,0.0,0.0,0.0,0.0
407,540,27,0.0,540,27,0.0,0.0,0.0,0.0
408,540,27,0.0,540,27,0.0,0.0,0.0,0.0
409,540,27,0.0,540,27,0.0,0.0,0.0,0.0
410,540,27,0.0,540,27,0.0,0.0,0.0,0.0
411,540,27,0.0,540,27,0.0,0.0,0.0,0.0
412,540,27,0.0,540,27,0.0,0.0,0.0,0.0
413,540,27,0.0,540,27,0.0,0.0,0.0,0.0
414,540,27,0.0,540,27,0.0,0.0,0.0,0.0
415,540,27,0.0,540,27,0.0,0.0,0.0,0.0
416,540,27,0.0,540,27,0.0,0.0,0.0,0.0
417,540,27,0.0,540,27,0.0,0.0,0.0,0.0
418,540,27,0.0,540,27,0.0,0.0,0.0,0.0
419,540,27,0.0,540,27,0.0,0.0,0.0,0.0
420,540,27,0.0,540,27,0.0,0.0,0.0,0.0
421,540,27,0.0,540,27,0.0,0.0,0.0,0.0
422,540,27,0.0,540,27,0.0,0.0,0.0,0.0
423,540,27,0.0,540,27,0.0,0.0,0.0,0.0
424,540,27,0.0,540,27,0.0,0.0,0.0,0.0
425,540,27,0.0,540,27,0.0,0.0,0.0,0.0
426,540,27,0.0,540,27,0.0,0.0,0.0,0.0
427,540,27,0.0,540,27,0.0,0.0,0.0,0.0
428,540,27,0.0,540,27,0.0,0.0,0.0,0.0
429,540,27,0.0,540,27,0.0,0.0,0.0,0.0
430,540,27,0.0,540,27,0.0,0.0,0.0,0.0
431,540,27,0.0,540,27,0.0,0.0,0.0,0.0
432,540,27,0.0,540,27,0.0,0.0,0.0,0.0
433,540,27,0.0,540,27,0.0,0.0,0.0,0.0
434,540,27,0.0,540,27,0.0,0.0,0.0,0.0
435,540,27,0.0,540,27,0.0,0.0,0.0,0.0
436,540,27,0.0,540,27,0.0,0.0,0.0,0.0
437,540,27,0.0,540,27,0.0,0.0,0.0,0.0
438,540,27,0.0,540,27,0.0,0.0,0.0,0.0
439,540,27,0.0,540,27,0.0,0.0,0.0,0.0
440,540,27,0.0,540,27,0.0,0.0,0.0,0.0
441,540,27,0.0,540,27,0.0,0.0,0.0,0.0
442,540,27,0.0,540,27,0.0,0.0,0.0,0.0
443,540,27,0.0,540,27,0.0,0.0,0.0,0.0
444,540,27,0.0,540,27,0.0,0.0,0.0,0.0
445,540,27,0.0,540,27,0.0,0.0,0.0,0.0
446,540,27,0.0,540,27,0.0,0.0,0.0,0.0
447,540,27,0.0,540,27,0.0,0.0,0.0,0.0
448,540,27,0.0,540,27,0.0,0.0,0.0,0.0
449,540,27,0.0,540,27,0.0,0.0,0.0,0.0
450,540,27,0.0,540,27,0.0,0.0,0.0,0.0
451,540,27,0.0,540,27,0.0,0.0,0.0,0.0
452,540,27,0.0,540,27,0.0,0.0,0.0,0.0
