M,Ms,Ps,Da
314,137.649185,0.438373,8207.207884704414
315,137.370026,0.436095,8216.951382831367
316,137.090337,0.43383,8226.682435447954
317,136.810147,0.431578,8236.401299442809
318,136.529486,0.429338,8246.108136393072
319,136.248379,0.427111,8255.80337508623
320,135.966856,0.424896,8265.487108460205
321,135.684944,0.422695,8275.159576539721
322,135.402668,0.420505,8284.821108152082
323,135.120055,0.418328,8294.471877328142
324,134.837131,0.416164,8304.112086025265
325,134.553921,0.414012,8313.741965081115
326,134.270449,0.411873,8323.361775179406
327,133.98674,0.409745,8332.971683442522
328,133.702817,0.407631,8342.571949571424
329,133.418705,0.405528,8352.162677448387
330,133.134427,0.403438,8361.744064283535
331,132.850003,0.40136,8371.316465650074
332,132.565458,0.399294,8380.879892802439
333,132.280813,0.39724,8390.43457832769
334,131.996089,0.395198,8399.980725728095
335,131.711307,0.393168,8409.518509406707
336,131.426487,0.39115,8419.048138710308
337,131.141651,0.389144,8428.569666158284
338,130.856817,0.38715,8438.083372206056
339,130.572005,0.385168,8447.589381304204
340,130.287234,0.383198,8457.08785449208
341,130.002524,0.381239,8466.57886020589
342,129.717891,0.379292,8476.062699901748
343,129.433355,0.377357,8485.539387901517
344,129.148932,0.375433,8495.009173267554
345,128.864641,0.373521,8504.472082184615
346,128.580498,0.37162,8513.928311968666
347,128.296519,0.369731,8523.378035049394
348,128.012722,0.367853,8532.821265665976
349,127.729121,0.365986,8542.258258922075
350,127.445733,0.364131,8551.689045523843
351,127.162572,0.362287,8561.113832391771
352,126.879655,0.360454,8570.532600728526
353,126.596995,0.358632,8579.94557707406
354,126.314607,0.356821,8589.352829818195
355,126.032506,0.355021,8598.754403407662
356,125.750704,0.353232,8608.150523712799
357,125.469215,0.351454,8617.541258044332
358,125.188053,0.349687,8626.9266507105
359,124.907231,0.347931,8636.306792167206
360,124.62676,0.346185,8645.681889551819
361,124.346655,0.344451,8655.051851387843
362,124.066926,0.342726,8664.41691149463
363,123.787586,0.341013,8673.777074254114
364,123.508646,0.339309,8683.132462653633
365,123.230118,0.337617,8692.483109026485
366,122.952012,0.335934,8701.829166219759
367,122.67434,0.334263,8711.170625929648
368,122.397112,0.332601,8720.507601349207
369,122.120338,0.330949,8729.840186587833
370,121.844029,0.329308,8739.168384972947
371,121.568195,0.327677,8748.492251804822
372,121.292845,0.326056,8757.81189557346
373,121.017988,0.324445,8767.127406740992
374,120.743635,0.322844,8776.438712397432
375,120.469793,0.321253,8785.746011437803
376,120.196472,0.319671,8795.049267232445
377,119.92368,0.3181,8804.348571089125
378,119.651426,0.316538,8813.643923734317
379,119.379717,0.314986,8822.935455836136
380,119.108563,0.313444,8832.223059725418
381,118.83797,0.311911,8841.506906525177
382,118.567946,0.310387,8850.787003233363
383,118.298498,0.308873,8860.063414967462
384,118.029634,0.307369,8869.336115946147
385,117.761361,0.305874,8878.605139061707
386,117.493685,0.304388,8887.870577157073
387,117.226613,0.302911,8897.13243251909
388,116.960152,0.301444,8906.390691803625
389,116.694308,0.299985,8915.645402465692
390,116.429087,0.298536,8924.89659739927
391,116.164495,0.297096,8934.144294971089
392,115.900538,0.295665,8943.388499053548
393,115.637221,0.294242,8952.629276476733
394,115.374551,0.292829,8961.866525312404
395,115.112531,0.291424,8971.100439941016
396,114.851168,0.290028,8980.330890700507
397,114.590466,0.288641,8989.557967913783
398,114.33043,0.287262,8998.781670962204
399,114.071066,0.285892,9008.001907027705
400,113.812377,0.284531,9017.218806739062
401,113.554368,0.283178,9026.43233066526
402,113.297043,0.281833,9035.6425059981
403,113.040407,0.280497,9044.84926786734
404,112.784463,0.279169,9054.05269889452
405,112.529216,0.27785,9063.252709695973
406,112.274668,0.276539,9072.449440309441
407,112.020825,0.275235,9081.642696703124
408,111.767689,0.27394,9090.832596201539
409,111.515263,0.272653,9100.019164819323
410,111.263552,0.271375,9109.202254101372
411,111.012558,0.270104,9118.381949175424
412,110.762284,0.26884,9127.558243177307
413,110.512733,0.267585,9136.731118625656
414,110.263907,0.266338,9145.900630404705
415,110.015811,0.265098,9155.066574289125
416,109.768445,0.263866,9164.229150816755
417,109.521814,0.262642,9173.388134516781
418,109.275918,0.261426,9182.543707465155
419,109.030761,0.260217,9191.695707395369
420,108.786344,0.259015,9200.84421432128
421,108.54267,0.257821,9209.989130419523
422,108.299741,0.256634,9219.130432705495
423,108.057558,0.255455,9228.268174442435
424,107.816123,0.254283,9237.402315204508
425,107.575438,0.253119,9246.532805491406
426,107.335505,0.251961,9255.659586765347
427,107.096325,0.250811,9264.782677996425
428,106.8579,0.249668,9273.902003515977
429,106.620231,0.248532,9283.017565795693
430,106.383319,0.247403,9292.12935953474
431,106.147165,0.246281,9301.237371700274
432,105.911771,0.245166,9310.341493660992
433,105.677137,0.244058,9319.441784383867
434,105.443265,0.242957,9328.5381194073
435,105.210156,0.241862,9337.630454317738
436,104.977809,0.240775,9346.718915232545
437,104.746227,0.239694,9355.80326576108
438,104.515409,0.23862,9364.883618193955
439,104.285356,0.237552,9373.95989989726
440,104.05607,0.236491,9383.03194068076
441,103.827549,0.235437,9392.099923698474
442,103.599795,0.234389,9401.163665246168
443,103.372808,0.233347,9410.223155266822
444,103.146588,0.232312,9419.278377616143
445,102.921135,0.231283,9428.329310102874
446,102.69645,0.230261,9437.375832632877
447,102.472533,0.229245,9446.417910173224
448,102.249383,0.228235,9455.455594233952
449,102.027001,0.227232,9464.488746063766
450,101.805386,0.226234,9473.517406008243
451,101.584539,0.225243,9482.541423068942
452,101.364459,0.224258,9491.560826581695
453,101.145145,0.223278,9500.575641310359
454,100.926599,0.222305,9509.585604820746
455,100.708818,0.221338,9518.590919252598
456,100.491804,0.220377,9527.5913105916
457,100.275555,0.219421,9536.5868773006
458,100.06007,0.218472,9545.577619246582
459,99.845351,0.217528,9554.563244883155
460,99.631394,0.21659,9563.544030759578
461,99.418201,0.215658,9572.51967500523
462,99.205771,0.214731,9581.490157723514
463,98.994102,0.21381,9590.45555171488
464,98.783194,0.212895,9599.415732473813
465,98.573046,0.211985,9608.370667675961
466,98.363657,0.211081,9617.320320931249
467,98.155027,0.210182,9626.264553749957
468,97.947154,0.209289,9635.203419197987
469,97.740038,0.208401,9644.13677024323
470,97.533678,0.207518,9653.06455370923
471,97.328071,0.206641,9661.98691108387
472,97.123219,0.20577,9670.903484553313
473,96.919118,0.204903,9679.81450813353
474,96.715769,0.204042,9688.7197148058
475,96.513169,0.203186,9697.619233321013
476,96.311319,0.202335,9706.512788024027
477,96.110216,0.201489,9715.400501518932
478,95.909859,0.200648,9724.282292432588
479,95.710248,0.199813,9733.157974110189
480,95.51138,0.198982,9742.027661121498
481,95.313254,0.198156,9750.891262348503
482,95.115869,0.197336,9759.748683191874
483,94.919224,0.19652,9768.599825605108
484,94.723317,0.195709,9777.444691349605
485,94.528146,0.194903,9786.283280033804
486,94.333711,0.194102,9795.115381481215
487,94.140009,0.193306,9803.941093404263
488,93.94704,0.192514,9812.760199350858
489,93.754801,0.191728,9821.572792670939
490,93.563291,0.190945,9830.378755840451
491,93.372508,0.190168,9839.178073538826
492,93.182451,0.189395,9847.970622858065
493,92.993118,0.188627,9856.756383779237
494,92.804508,0.187863,9865.535228145502
495,92.616618,0.187104,9874.30723799018
496,92.429448,0.18635,9883.072174047671
497,92.242995,0.1856,9891.830114545675
498,92.057257,0.184854,9900.581029711935
499,91.872233,0.184113,9909.324780253344
500,91.687921,0.183376,9918.061332173533
501,91.50432,0.182643,9926.790541396964
502,91.321427,0.181915,9935.512478630393
503,91.139241,0.181191,9944.22699608313
504,90.957759,0.180472,9952.93416206425
505,90.77698,0.179756,9961.633825200262
506,90.596903,0.179045,9970.325831433667
507,90.417524,0.178338,9979.010355150243
508,90.238843,0.177636,9987.687129164846
509,90.060857,0.176937,9996.356215429065
510,89.883565,0.176242,10005.017453232453
511,89.706964,0.175552,10013.670902587413
512,89.531052,0.174865,10022.316511589923
513,89.355829,0.174183,10030.954002614624
514,89.18129,0.173504,10039.583657206545
515,89.007436,0.17283,10048.205082216184
516,88.834263,0.172159,10056.81844562464
517,88.661769,0.171493,10065.423689816209
518,88.489954,0.17083,10074.020528438745
519,88.318813,0.170171,10082.60924238624
520,88.148347,0.169516,10091.189428500742
521,87.978552,0.168865,10099.76125283712
522,87.809426,0.168217,10108.32465283459
523,87.640968,0.167574,10116.87944959829
524,87.473175,0.166934,10125.425693597048
525,87.306045,0.166297,10133.963319662074
526,87.139576,0.165665,10142.492261814119
527,86.973767,0.165036,10151.012336579039
528,86.808614,0.16441,10159.523709550496
529,86.644117,0.163789,10168.026078743851
530,86.480272,0.16317,10176.51960961389
531,86.317077,0.162556,10185.004233522759
532,86.154532,0.161945,10193.479644562594
533,85.992632,0.161337,10201.946126833507
534,85.831377,0.160733,10210.403372914025
535,85.670764,0.160132,10218.851430098259
536,85.510792,0.159535,10227.290107235109
537,85.351457,0.158941,10235.719571159096
538,85.192757,0.158351,10244.139750316015
539,85.034691,0.157764,10252.550452138585
540,84.877257,0.15718,10260.951603243415
541,84.720452,0.1566,10269.343251069784
542,84.564274,0.156023,10277.725322446206
543,84.408721,0.155449,10286.097743863298
544,84.25379,0.154878,10294.460563683879
545,84.09948,0.154311,10302.813586264128
546,83.945789,0.153747,10311.156737237698
547,83.792714,0.153186,10319.490065158914
548,83.640253,0.152628,10327.813496190347
549,83.488403,0.152074,10336.127080115184
550,83.337164,0.151522,10344.430495474153
551,83.186532,0.150974,10352.723915888504
552,83.036505,0.150428,10361.0072679149
553,82.887082,0.149886,10369.280352926777
554,82.738259,0.149347,10377.54334721906
555,82.590035,0.148811,10385.796052399375
556,82.442408,0.148278,10394.038394842966
557,82.295376,0.147748,10402.27030094022
558,82.148935,0.14722,10410.491950574637
559,82.003085,0.146696,10418.703018086424
560,81.857822,0.146175,10426.903684811261
561,81.713146,0.145656,10435.093623984763
562,81.569053,0.145141,10443.273018489353
563,81.425541,0.144628,10451.441797259768
564,81.282608,0.144118,10459.599889411138
565,81.140252,0.143611,10467.747224261742
566,80.998471,0.143107,10475.883731355632
567,80.857263,0.142605,10484.009340485094
568,80.716625,0.142107,10492.124111700117
569,80.576556,0.141611,10500.227846022197
570,80.437053,0.141118,10508.320604762188
571,80.298113,0.140627,10516.40245087435
572,80.159736,0.140139,10524.473055097485
573,80.021918,0.139654,10532.532612418849
574,79.884657,0.139172,10540.581056947227
575,79.747952,0.138692,10548.618190940279
576,79.6118,0.138215,10556.644080994964
577,79.476199,0.13774,10564.658662553
578,79.341147,0.137268,10572.66187154221
579,79.206641,0.136799,10580.653777980084
580,79.07268,0.136332,10588.634185899975
581,78.939262,0.135868,10596.60303281137
582,78.806383,0.135406,10604.560525920953
583,78.674043,0.134947,10612.506336073646
584,78.542239,0.13449,10620.440537761764
585,78.410969,0.134036,10628.363071867774
586,78.28023,0.133584,10636.274015795625
587,78.150021,0.133135,10644.173176522087
588,78.02034,0.132688,10652.060496929233
589,77.891184,0.132243,10659.936057460882
590,77.762551,0.131801,10667.799803410555
591,77.63444,0.131361,10675.651543302813
592,77.506847,0.130924,10683.491498631605
593,77.379772,0.130489,10691.319341623712
594,77.253211,0.130056,10699.135296661612
595,77.127164,0.129625,10706.939036277037
596,77.001626,0.129197,10714.730926963333
597,76.876598,0.128772,10722.510503135138
598,76.752076,0.128348,10730.277995169517
599,76.628059,0.127927,10738.0332165559
600,76.504543,0.127508,10745.776401757365
601,76.381529,0.127091,10753.507084845629
602,76.259012,0.126676,10761.225643588361
603,76.136992,0.126264,10768.931753431492
604,76.015466,0.125853,10776.62551348261
605,75.894432,0.125445,10784.306883053292
606,75.773888,0.125039,10791.975822462466
607,75.653833,0.124636,10799.632150302241
608,75.534263,0.124234,10807.276114129609
609,75.415177,0.123834,10814.907534960383
610,75.296574,0.123437,10822.526233574188
611,75.17845,0.123042,10830.132462707861
612,75.060804,0.122648,10837.726045660387
613,74.943634,0.122257,10845.306950255308
614,74.826939,0.121868,10852.87500041161
615,74.710715,0.121481,10860.430455990985
616,74.594961,0.121096,10867.973143555297
617,74.479675,0.120713,10875.503035559941
618,74.364856,0.120331,10883.01995930959
619,74.2505,0.119952,10890.524182031639
620,74.136606,0.119575,10898.015533792586
621,74.023173,0.1192,10905.49384459269
622,73.910197,0.118827,10912.959387335979
623,73.797678,0.118455,10920.411846893008
624,73.685614,0.118086,10927.851203415123
625,73.574001,0.117718,10935.277735609465
626,73.462839,0.117353,10942.69113027817
627,73.352126,0.116989,10950.091371502744
628,73.241859,0.116627,10957.478594308943
629,73.132037,0.116267,10964.852636510797
630,73.022657,0.115909,10972.213636499533
631,72.913719,0.115553,10979.561283595835
632,72.805219,0.115198,10986.895869540931
633,72.697157,0.114845,10994.217085147517
634,72.58953,0.114495,11001.52507471798
635,72.482336,0.114145,11008.819833399953
636,72.375573,0.113798,11016.10135778166
637,72.26924,0.113452,11023.369493372194
638,72.163335,0.113109,11030.624238704435
639,72.057855,0.112767,11037.865746969672
640,71.9528,0.112426,11045.093713631146
641,71.848167,0.112088,11052.308294546956
642,71.743954,0.111751,11059.509494231865
643,71.64016,0.111415,11066.697164248942
644,71.536782,0.111082,11073.871466002358
645,71.43382,0.11075,11081.032098368512
646,71.33127,0.11042,11088.179380981244
647,71.229132,0.110091,11095.313014552432
648,71.127403,0.109765,11102.433167067262
649,71.026081,0.109439,11109.539852979282
650,70.925166,0.109116,11116.632774869044
651,70.824655,0.108794,11123.712105530014
652,70.724546,0.108473,11130.777863287143
653,70.624838,0.108154,11137.829910395087
654,70.525528,0.107837,11144.868425516956
655,70.426616,0.107522,11151.893115214343
656,70.328099,0.107207,11158.904161147988
657,70.229975,0.106895,11165.901588948765
658,70.132243,0.106584,11172.885266619698
659,70.034902,0.106275,11179.855062573211
660,69.937948,0.105967,11186.811325502455
661,69.841382,0.10566,11193.75360700929
662,69.7452,0.105355,11200.68225954332
663,69.649402,0.105052,11207.59699619063
664,69.553985,0.10475,11214.498012920338
665,69.458948,0.10445,11221.385185622692
666,69.364289,0.104151,11228.258552541281
667,69.270007,0.103853,11235.117991494024
668,69.176099,0.103557,11241.963705822518
669,69.082565,0.103262,11248.795413435671
670,68.989402,0.102969,11255.6133209343
671,68.896609,0.102678,11262.417311058827
672,68.804184,0.102387,11269.207430872173
673,68.712126,0.102098,11275.983565150442
674,68.620433,0.101811,11282.745763646437
675,68.529103,0.101525,11289.494077947229
676,68.438134,0.10124,11296.228561481477
677,68.347526,0.100956,11302.948938777317
678,68.257276,0.100674,11309.655430758188
679,68.167383,0.100394,11316.347929463374
680,68.077845,0.100114,11323.026493862202
681,67.988661,0.099837,11329.691018162368
682,67.899829,0.09956,11336.34156415045
